DATE,TIME,PLACE,AMOUNT,ACCOUNT,EXPENSE,CATEGORY,TAGS,NOTE
11-10-16,10:32 AM,BOOKMYSHOW,309,HDFC credit 2721,Yes,ENTERTAINMENT,#Online,
11-10-16,11:08 AM,PURPLE HOTELS,208,HDFC credit 2721,Yes,TRAVEL,,
11-10-16,12:00 PM,PONDY TREAT,"2,000",CASH Spends,Yes,FOOD & DRINKS,,
11-10-16,07:59 PM,MAYAJAAL MULTIPLEX,90,HDFC credit 2721,Yes,ENTERTAINMENT,,
12-10-16,12:00 PM,BREAKFAST,65,CASH Spends,Yes,FOOD & DRINKS,,
13-10-16,12:00 PM,BREAKFSST,50,CASH Spends,Yes,FOOD & DRINKS,,
13-10-16,02:19 PM,SAVOURY SEA SHELL,237,HDFC credit 2721,Yes,FOOD & DRINKS,,
15-10-16,12:00 PM,MUTTON,186.66648,CASH Spends,Yes,FOOD & DRINKS,,
17-10-16,12:00 PM,BREAKFAST,50,CASH Spends,Yes,FOOD & DRINKS,,
17-10-16,12:00 PM,LUNCH,60,CASH Spends,Yes,FOOD & DRINKS,,
18-10-16,10:38 AM,ATM,"2,000",CitiBank debit 8448,No,,,
18-10-16,12:00 PM,KAJU,353,CASH Spends,Yes,FOOD & DRINKS,,
18-10-16,08:00 PM,LUNCH,70,CASH Spends,Yes,FOOD & DRINKS,,
18-10-16,08:01 PM,BREAKFAST,50,CASH Spends,Yes,FOOD & DRINKS,,
19-10-16,02:49 PM,LUNCH,70,CASH Spends,Yes,FOOD & DRINKS,,
19-10-16,04:38 PM,SMARTPAY 788601,"6,582.7",HDFC credit XXXX,Yes,HEALTH,,
19-10-16,07:38 PM,ELITE SUPER MARKET,727.1,HDFC credit 2721,Yes,GROCERIES,,
20-10-16,10:54 AM,LINKED TO MOBILE 9XXXXXX979,"5,000",HDFC  5463,No,UNKNOWN,,IMPS Ref no 629410132816
20-10-16,11:22 PM,AMAZON,"3,890.55",CitiBank credit 4456,Yes,SHOPPING,#Online,
21-10-16,01:48 PM,MAID SALARY,750,CASH Spends,Yes,BILLS,,
21-10-16,06:54 PM,MOBIKWIK,541,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
21-10-16,08:27 PM,TRAVEL,265,CASH Spends,Yes,TRAVEL,,
23-10-16,09:16 PM,ELITE SUPERMARKET,851,CitiBank credit 4456,Yes,GROCERIES,,
23-10-16,10:14 PM,HOTEL RUKMINI,840,CitiBank credit 4456,Yes,FOOD & DRINKS,,
24-10-16,11:02 AM,IRCTC,478,CitiBank credit 4456,No,TRAVEL,#Online,
24-10-16,07:04 PM,ELITE SUPERMARKET,213,CitiBank credit 4456,Yes,GROCERIES,,
25-10-16,09:03 AM,NET BANKING,"6,000",HDFC  5463,No,INVESTMENT,,TPT
25-10-16,10:01 AM,STERLING STEEL PALACE,390,CitiBank credit 4456,Yes,SHOPPING,,
25-10-16,10:04 AM,ATM,"2,000",CitiBank debit 8448,No,,,
